震级,日期,时间,纬度,经度,深度,地点
4.5,2023-10-09,00:17:48,41.89,82.26,10,新疆阿克苏地区拜城县
3.0,2023-10-08,21:37:02,31.72,79.33,10,西藏阿里地区札达县
3.0,2023-10-08,12:33:42,39.22,78.85,26,新疆喀什地区巴楚县
5.6,2023-10-08,00:20:35,-5.65,145.90,40,巴布亚新几内亚
3.2,2023-10-08,00:15:59,41.86,82.25,15,新疆阿克苏地区拜城县
3.3,2023-10-07,21:21:37,31.91,116.23,15,安徽六安市裕安区
5.6,2023-10-07,21:10:40,-5.65,145.90,40,巴布亚新几内亚
5.7,2023-10-07,17:18:47,-5.15,146.00,50,巴布亚新几内亚
6.7,2023-10-07,16:40:11,-5.35,146.10,50,巴布亚新几内亚
6.8,2023-10-07,16:34:25,-5.60,146.10,50,巴布亚新几内亚
5.8,2023-10-07,15:40:31,34.65,62.15,10,阿富汗
6.2,2023-10-07,15:12:50,34.50,61.90,10,阿富汗
6.2,2023-10-07,14:41:02,34.70,61.90,10,阿富汗
4.3,2023-10-07,14:04:08,41.89,82.24,25,新疆阿克苏地区拜城县
4.3,2023-10-07,13:09:31,41.86,82.21,21,新疆阿克苏地区拜城县
5.9,2023-10-06,09:31:24,30.05,140.35,10,日本本州东南海域
3.1,2023-10-05,23:29:01,37.58,75.46,92,新疆喀什地区塔什库尔干县
5.5,2023-10-05,14:22:14,29.85,139.95,10,日本本州东南海域
6.2,2023-10-05,10:00:00,29.90,140.05,10,日本本州东南海域
3.2,2023-10-05,01:52:36,40.19,83.12,24,新疆阿克苏地区沙雅县
6.4,2023-10-04,19:21:47,5.40,126.25,120,棉兰老岛附近海域
5.3,2023-10-04,11:35:11,19.30,121.10,30,菲律宾群岛
5.4,2023-10-03,23:22:39,29.90,139.95,10,日本本州东南海域
6.0,2023-10-03,19:38:02,29.95,140.45,20,日本本州东南海域
5.5,2023-10-03,17:21:02,29.42,81.04,10,尼泊尔
3.6,2023-10-03,11:00:28,30.84,86.35,10,西藏那曲市尼玛县
5.7,2023-10-03,09:56:20,-4.45,153.55,100,新爱尔兰地区
3.4,2023-10-03,01:38:47,41.45,83.65,11,新疆阿克苏地区库车市
5.0,2023-10-02,22:03:43,38.80,71.75,20,塔吉克斯坦
5.0,2023-10-02,20:45:20,25.75,90.65,30,印度
3.6,2023-10-02,12:41:26,27.17,103.94,10,贵州毕节市威宁县
3.3,2023-10-01,22:16:42,33.62,97.48,15,四川甘孜州石渠县
4.2,2023-10-01,19:47:01,33.64,97.46,10,四川甘孜州石渠县
4.4,2023-10-01,19:34:07,33.63,97.51,14,四川甘孜州石渠县
3.3,2023-09-30,19:19:41,39.59,74.75,10,新疆克孜勒苏州乌恰县
3.0,2023-09-28,23:47:39,43.67,84.55,10,新疆伊犁州尼勒克县
5.8,2023-09-28,22:40:28,-15.50,167.90,160,瓦努阿图群岛
3.1,2023-09-28,22:10:01,40.07,75.78,14,新疆克孜勒苏州乌恰县
3.1,2023-09-28,08:56:54,39.41,83.23,10,新疆和田地区民丰县
6.0,2023-09-26,09:39:46,4.60,127.45,110,印尼塔劳群岛
3.0,2023-09-26,04:17:52,35.57,99.13,10,青海果洛州玛多县
3.2,2023-09-26,01:13:29,41.12,83.17,10,新疆阿克苏地区沙雅县
3.6,2023-09-25,13:56:28,41.76,81.45,10,新疆阿克苏地区拜城县
3.4,2023-09-24,00:44:11,39.81,96.58,11,甘肃酒泉市玉门市
5.7,2023-09-22,22:59:17,-7.10,129.85,150,印尼班达海
3.1,2023-09-22,21:38:27,37.91,77.82,24,新疆喀什地区叶城县
6.0,2023-09-22,05:11:51,-14.10,167.00,190,瓦努阿图群岛
3.7,2023-09-21,18:55:57,40.20,77.54,20,新疆克孜勒苏州阿图什市
3.1,2023-09-20,01:51:30,35.93,108.65,24,陕西延安市富县
5.8,2023-09-19,14:22:36,31.10,142.20,50,日本本州东南海域
3.2,2023-09-19,12:23:15,41.21,83.55,20,新疆阿克苏地区库车市
5.4,2023-09-19,03:33:02,38.45,142.10,80,日本本州东岸近海
6.4,2023-09-18,21:21:23,26.45,125.35,170,东海海域
3.4,2023-09-17,22:40:35,28.40,104.59,8,四川宜宾市高县
3.0,2023-09-17,10:00:23,34.48,99.12,9,青海果洛州玛沁县
2.9,2023-09-17,01:09:04,25.38,99.25,17,云南保山市隆阳区
3.1,2023-09-15,17:55:47,30.11,102.80,16,四川雅安市天全县
5.5,2023-09-15,03:58:44,-6.20,149.70,60,巴布亚新几内亚
6.1,2023-09-13,19:49:14,-35.85,-98.05,10,西智利海岭
3.0,2023-09-13,18:09:39,24.57,102.86,10,云南玉溪市澄江市
6.3,2023-09-12,19:03:17,19.35,121.05,10,菲律宾群岛地区
2.3,2023-09-11,23:45:23,39.12,116.63,10,河北廊坊市霸州市
6.1,2023-09-11,20:51:34,1.10,127.45,160,印尼哈马黑拉岛
2.9,2023-09-11,18:15:57,37.48,113.67,10,山西晋中市昔阳县
3.1,2023-09-11,00:22:34,36.59,83.76,10,新疆和田地区民丰县
3.4,2023-09-10,12:45:23,35.87,114.15,10,河南鹤壁市淇滨区
3.0,2023-09-10,12:01:08,30.38,94.84,8,西藏林芝市波密县
3.2,2023-09-10,08:10:47,30.35,94.85,10,西藏林芝市波密县
3.4,2023-09-10,01:13:05,24.97,97.87,10,云南德宏州盈江县
5.9,2023-09-09,22:43:24,-0.10,119.75,10,印度尼西亚
6.9,2023-09-09,06:10:58,31.00,-8.55,10,摩洛哥
3.7,2023-09-09,04:55:03,41.11,83.62,16,新疆阿克苏地区库车市
4.3,2023-09-09,03:33:34,30.35,94.84,10,西藏林芝市波密县
6.1,2023-09-09,00:37:15,19.30,-105.10,10,墨西哥哈利斯科州沿岸近海
6.5,2023-09-08,17:09:53,-32.95,-179.40,100,新西兰克马德克群岛以南海域
3.9,2023-09-08,03:26:21,43.07,85.24,13,新疆巴音郭楞州和静县
6.4,2023-09-07,07:48:05,-30.30,-71.45,50,智利
3.1,2023-09-07,02:27:07,44.55,86.86,10,新疆昌吉州呼图壁县
3.1,2023-09-06,16:46:23,29.52,101.96,12,四川甘孜州泸定县
3.6,2023-09-06,14:26:13,29.59,104.87,8,四川内江市资中县
2.5,2023-09-05,23:36:10,43.79,87.71,22,新疆乌鲁木齐市水磨沟区（有感）
5.7,2023-09-05,23:03:18,-5.30,142.75,70,巴布亚新几内亚
4.9,2023-09-05,17:30:42,23.51,120.42,20,台湾嘉义县
5.4,2023-09-05,08:55:24,-23.95,175.55,10,斐济群岛以南海域
3.3,2023-09-05,02:30:21,43.89,88.41,24,新疆昌吉州阜康市
3.9,2023-09-04,19:48:01,41.37,83.84,10,新疆阿克苏地区库车市
3.9,2023-09-04,10:53:23,39.64,82.51,21,新疆阿克苏地区沙雅县
3.2,2023-09-04,06:49:30,36.04,77.78,10,新疆和田地区皮山县
3.4,2023-09-03,22:30:13,31.33,103.67,14,四川成都市都江堰市
3.3,2023-09-03,18:22:44,23.51,99.49,11,云南临沧市耿马县
3.3,2023-09-02,09:06:15,41.38,78.82,12,新疆阿克苏地区乌什县
6.1,2023-09-02,04:49:54,50.60,156.45,140,千岛群岛
3.3,2023-09-02,01:00:44,22.85,107.60,10,广西崇左市江州区
3.6,2023-09-01,23:26:06,34.65,81.90,10,西藏阿里地区日土县
3.0,2023-09-01,16:13:07,36.54,83.76,10,新疆和田地区民丰县
2.7,2023-09-01,15:34:06,40.14,116.48,17,北京顺义区
3.3,2023-08-31,16:54:40,34.60,81.94,10,西藏阿里地区日土县
3.2,2023-08-31,12:42:14,41.11,83.58,20,新疆阿克苏地区沙雅县
3.1,2023-08-31,07:20:30,36.14,81.30,10,新疆和田地区策勒县
3.0,2023-08-30,03:41:09,38.40,76.40,15,新疆克孜勒苏州阿克陶县
